"","id","mentor","education","gpa","gpa_3"
"164",90718981,0,13.5,3.28,1
"165",90719275,0,15,3.07,1
"166",90719939,0,17,2.97,0
"167",91374970,1,20,3.63,1
"168",91374975,0,15,2.09,0
"169",91500977,1,19,3.67,1
"170",91504104,0,15,1.42,0
"171",91504224,1,15,2.31,0
"172",91504686,0,15,2.21,0
"173",91506146,0,17,3.39,1
"174",91506304,1,20,3.49,1
"175",91506935,1,13,2.5,0
"176",91507010,1,20,3.85,1
"177",91507851,1,18,4,1
"178",91508025,0,17,2.94,0
"179",91508123,0,17,3.38,1
"180",91508381,1,15,1.94,0
"181",91508526,0,13,2.5,0
"182",91508766,0,13,2.54,0
"183",91508836,0,18,3.12,1
"184",91508873,0,15,2.88,0
"185",91508948,0,13,1.98,0
"186",91570095,1,15,1.6,0
"187",91570110,0,11,2.7,0
"188",91570187,0,13,1.5,0
"189",91570425,1,15,2.44,0
"190",91570497,1,15,2.11,0
"191",91570525,0,13.5,2.9,0
"192",91570597,1,17,2.18,0
"193",91570621,1,19,4,1
"194",91570692,1,17,3.35,1
"195",91570823,0,13,1.2,0
"196",91570986,0,11,0.7,0
"197",91571155,0,17,2.31,0
"198",91571467,0,15,1.45,0
"199",91571560,1,17,2.94,0
"200",91571601,0,17,2.83,0
"201",91571707,1,15,3.38,1
"202",91571817,1,17,3.88,1
"203",91571876,0,17,1.78,0
"204",91572001,0,17,3.89,1
"205",91572040,0,13,1.33,0
"206",91572063,0,19,3.91,1
"207",91572122,0,15,2.21,0
"208",91572183,0,14,2.54,0
"209",91572321,0,13,2.07,0
"210",91572346,1,11,2.17,0
"211",91572381,0,19,3.18,1
"212",91572389,0,17,3.49,1
"213",91572964,0,15,3.02,1
"214",91572999,1,17,3.44,1
"215",91573016,0,15,2.54,0
"216",91573031,0,17,2.87,0
"217",91573099,0,15,1.83,0
"218",91573259,0,15,2.65,0
"219",91573291,0,15,3.17,1
"220",91573310,0,11,0.14,0
"221",91573334,1,20,2.02,0
"222",91573417,0,15,2.41,0
"223",91573708,1,19,3,1
"224",91573956,1,17,2.72,0
"225",91573958,1,17,4,1
"226",91574121,0,11,0.5,0
"227",91574308,1,20,2.98,0
"228",91574337,0,14,1.69,0
"229",91574399,1,20,3.63,1
"230",91574504,1,17,3.28,1
"231",91574594,0,11,0.05,0
"232",91575065,1,17,3.55,1
"233",91575076,0,17,2.44,0
"234",91575077,1,17,3.25,1
"235",91575083,1,13,1.91,0
"236",91575094,0,13.5,1.49,0
"237",91575180,0,13,0.29,0
"238",91575217,0,15,2.42,0
"239",91575235,1,17,3.06,1
"240",91575240,0,19,3.48,1
"241",91575280,1,14,2.18,0
"242",91575358,1,15,2.88,0
"243",91575432,1,19,3.08,1
"244",91575522,1,15,3.42,1
"245",91575602,0,17,3.44,1
"246",91575626,0,15,2.48,0
"247",91575726,0,13,1.32,0
