"","id","mentee_age","education","gpa","gpa_3"
"240",93577321,14,18,2.49,0
"241",93578347,14,18,3,1
"242",93578447,14,15,2.39,0
"243",93578685,17,13.5,1.27,0
"244",93579273,14,13,2,0
"245",93579945,18,15,2.44,0
"246",93579961,16,14,2.16,0
"247",93579994,19,15,2.91,0
"248",93579999,21,17,3.27,1
"249",93606726,17,20,3.6,1
"250",93676125,19,20,2.85,0
"251",93678779,14,15,3.12,1
"252",93710587,13,17,2.5,0
"253",93714082,18,14,2.44,0
"254",93714126,18,15,1.51,0
"255",93715257,17,13,3.66,1
"256",93715362,14,15,3.02,1
"257",93716058,16,17,1.86,0
"258",93716159,16,17,2.94,0
"259",93716915,14,19,3.81,1
"260",93718046,15,19,2.7,0
"261",93718280,18,15,1.62,0
"262",93718326,14,14,2.42,0
"263",93718944,13,15,2.97,0
"264",93719972,14,15,3.8,1
"265",94500172,22,18,3.29,1
"266",94500284,22,14,1.82,0
"267",94504325,17,22,3.98,1
"268",94504728,17,14,1.72,0
"269",94506051,14,17,2.85,0
"270",94506933,16,19,3.79,1
"271",94508567,18,13,2.58,0
"272",94508679,16,17,3.98,1
"273",94508733,15,15,3.51,1
"274",94571176,15,15,3.17,1
"275",94571818,12,17,3.56,1
"276",94572194,15,15,3.07,1
"277",94572263,16,15,2.38,0
"278",94572326,14,15,2.43,0
"279",94572567,13,17,2.92,0
"280",94572661,14,20,3.45,1
"281",94572667,18,19,3.98,1
"282",94572989,16,15,3.32,1
"283",94573439,15,17,2.56,0
"284",94574128,17,20,3.97,1
"285",94574241,16,13.5,2.91,0
"286",94574729,16,13,1.17,0
"287",94574802,15,19,3.12,1
"288",94574830,16,19,3.04,1
"289",94575029,17,15,3.5,1
"290",94575116,20,17,3.47,1
"291",94575195,17,19,3.65,1
"292",94575228,21,15,2.12,0
"293",94575247,16,17,3.31,1
"294",94575463,15,18,3.1,1
"295",94575876,18,17,3.4,1
"296",94575948,16,15,3.33,1
"297",94575985,15,17,3.65,1
"298",94576216,16,19,2.39,0
"299",94576352,16,19,3.02,1
"300",94576357,15,15,2.6,0
"301",94576432,12,17,1.49,0
"302",94576685,15,11,1.64,0
"303",94577452,17,15,1.91,0
"304",94577924,20,20,3.25,1
"305",94578101,15,15,1.72,0
"306",94578149,12,17,2.93,0
"307",94578804,16,15,1.96,0
"308",94579294,15,15,3.32,1
"309",94579941,14,17,3.29,1
"310",94614472,17,15,2.26,0
"311",94619469,15,17,3.65,1
"312",94619963,21,17,3.23,1
"313",94710390,16,15,3.42,1
"314",94710450,17,15,1.86,0
"315",94710999,18,15,1.59,0
"316",94711266,16,17,3.6,1
"317",94712917,16,13,2.71,0
"318",94714085,20,17,3.04,1
"319",94714242,18,15,3.04,1
"320",94714394,15,14,3.21,1
"321",94715257,18,15,2.94,0
"322",94715393,17,19,3.21,1
"323",94715980,8,17,3.94,1
"324",94715981,13,14,1.96,0
"325",94715987,14,17,4,1
"326",94716217,17,15,3.09,1
"327",94716627,18,17,2.7,0
"328",94717461,16,15,2.25,0
"329",94718249,16,18,3.91,1
"330",94718273,16,18,2.46,0
"331",94718485,15,15,2.74,0
"332",94719932,20,17,3.27,1
"333",95374971,14,19,3.1,1
"334",95500036,16,15,2.74,0
"335",95504188,17,17,3.08,1
"336",95504487,14,15,2.45,0
"337",95504947,19,17,3.02,1
"338",95506482,14,15,3.33,1
"339",95506926,17,15,3.33,1
"340",95508034,21,13.5,1.76,0
"341",95508984,19,18,2.08,0
"342",95571018,15,20,3.58,1
"343",95571112,15,13,3.03,1
"344",95571204,14,14,2.8,0
"345",95571306,16,15,2.39,0
"346",95571316,23,17,3.53,1
"347",95571601,16,15,1.75,0
"348",95571877,17,13,1.56,0
"349",95572102,17,20,3.88,1
"350",95572306,13,19,3.98,1
"351",95572405,15,15,2.84,0
"352",95572925,17,13,2.56,0
"353",95573233,22,19,3.4,1
"354",95573415,19,17,2.39,0
"355",95573951,14,17,2.82,0
"356",95573994,19,15,2.52,0
"357",95575206,17,17,3.91,1
"358",95575377,16,17,3.08,1
"359",95575379,18,18,3.17,1
"360",95575621,18,17,3.92,1
"361",95575805,19,20,3.78,1
"362",95576037,18,15,3.15,1
"363",95576064,14,17,3.75,1
"364",95576262,23,17,3.35,1
"365",95576323,16,13,2.7,0
"366",95576817,14,17,3.57,1
"367",95577224,19,18,3.23,1
"368",95577884,15,15,1.66,0
"369",95577928,17,17,3.17,1
"370",95578046,18,17,3.56,1
"371",95578083,17,11,0.54,0
"372",95578109,16,13,1.77,0
"373",95578413,16,15,2.96,0
"374",95578685,22,19,2.29,0
"375",95578741,23,17,3.25,1
"376",95578894,14,15,3.48,1
"377",95578939,24,11,1.72,0
"378",95579178,14,13.5,1.89,0
"379",95579332,14,13,2.11,0
"380",95579937,16,15,2.14,0
"381",95579943,15,15,2.78,0
"382",95579944,17,13,2.72,0
"383",95579989,15,15,2.48,0
"384",95678275,15,15,1.98,0
"385",95710081,14,15,2.31,0
"386",95711366,11,20,3.94,1
"387",95711964,18,13,2.83,0
"388",95712297,16,20,3.88,1
"389",95712945,16,15,2.77,0
"390",95714281,17,15,2.79,0
"391",95714483,14,15,2.25,0
"392",95714924,19,17,3.25,1
"393",95715937,16,18,3.89,1
"394",95716906,16,15,3.15,1
"395",95716976,16,17,3.87,1
"396",95717168,16,17,3.6,1
"397",95717914,14,17,3.98,1
"398",95717957,18,17,3.07,1
"399",95718313,17,15,3.6,1
"400",95718482,14,15,1.79,0
"401",96500981,16,14,2.52,0
"402",96503800,18,15,2.08,0
"403",96503834,15,15,2.61,0
"404",96508974,14,15,2.42,0
"405",96570870,15,13.5,2.55,0
"406",96571509,16,14,1.8,0
"407",96571709,15,15,2.93,0
"408",96571859,16,17,2.94,0
"409",96572166,19,17,3.31,1
"410",96572283,17,15,2.98,0
"411",96572298,20,19,3.98,1
"412",96572318,15,15,3.11,1
"413",96572387,19,13,2.32,0
"414",96572472,16,17,2.85,0
"415",96572985,16,19,3.5,1
"416",96572995,15,18,3.94,1
"417",96573291,17,15,3.63,1
"418",96574589,22,15,2.86,0
"419",96574616,15,13.5,1.24,0
"420",96575057,22,18,3.96,1
"421",96575067,17,17,3.23,1
"422",96575074,20,20,3.02,1
"423",96575296,19,18,3.21,1
"424",96575298,21,17,3.22,1
"425",96575391,17,15,2.73,0
"426",96575407,20,19,3.47,1
"427",96575428,16,13,1.38,0
"428",96575806,14,17,2.91,0
"429",96575862,14,17,3.46,1
"430",96575877,15,18,3.38,1
"431",96575947,18,19,3.91,1
"432",96575996,17,17,3.27,1
"433",96576144,17,17,3.5,1
"434",96576200,19,17,3.86,1
"435",96576203,13,20,3.76,1
"436",96576456,14,15,3.12,1
"437",96577123,15,20,2.77,0
"438",96577156,17,18,3.4,1
"439",96577929,18,20,3,1
"440",96578347,20,19,3.57,1
"441",96578810,18,17,4,1
"442",96579270,16,15,3.37,1
"443",96579330,16,19,2.94,0
"444",96579370,16,20,3.26,1
"445",96579936,17,17,2.83,0
"446",96579968,15,17,2.67,0
"447",96579986,17,13,3.65,1
"448",96619061,17,17,3.43,1
"449",96619062,18,20,4,1
"450",96624973,15,18,3.54,1
"451",96676651,16,18,2.9,0
"452",96676724,15,17,2.57,0
"453",96678376,16,15,1.76,0
"454",96710094,18,13,1.04,0
"455",96710217,18,17,3.67,1
"456",96710333,21,18,3.2,1
"457",96712905,17,15,3.66,1
"458",96713231,16,17,2.5,0
"459",96713395,14,14,3.09,1
"460",96714083,15,13,3.6,1
"461",96716152,16,14,2,0
"462",96716667,16,14,2.73,0
"463",96716905,18,15,2.41,0
"464",96716930,13,15,1.95,0
"465",96717154,12,17,2.93,0
"466",96717168,18,14,2.94,0
"467",96717354,16,17,3.39,1
"468",96717914,6,17,3.29,1
"469",96718145,14,18,3.53,1
"470",96718687,3,17,3.95,1
"471",96719930,17,19,3.3,1
"472",97504523,15,18,3.93,1
"473",97507152,15,15,1.61,0
"474",97508073,16,22,3.78,1
"475",97570213,14,15,2.55,0
"476",97570231,17,17,3.8,1
"477",97570714,14,17,3.04,1
"478",97570938,16,15,3.17,1
"479",97571068,16,15,3.46,1
"480",97571100,14,15,2.06,0
"481",97571113,18,19,3.85,1
"482",97571409,16,15,1.69,0
"483",97572043,10,15,2.1,0
"484",97572066,15,17,3.17,1
"485",97572102,16,15,3.22,1
"486",97572271,12,14,2.85,0
"487",97572310,14,15,1.72,0
"488",97572367,13,20,3.89,1
"489",97572381,15,15,3.22,1
"490",97572660,11,11,1.88,0
"491",97573333,21,18,2.58,0
"492",97573496,16,15,2.9,0
"493",97573957,13,19,3.83,1
"494",97574102,19,17,2.6,0
"495",97574490,16,15,2.27,0
"496",97574498,16,15,2.37,0
"497",97575130,17,17,2.57,0
"498",97575219,16,19,3.65,1
"499",97575240,16,19,3.76,1
"500",97575287,18,17,4,1
"501",97575335,18,19,3.47,1
"502",97575356,12,19,3.98,1
"503",97575409,20,20,2.47,0
"504",97575471,22,17,2.23,0
"505",97575800,22,17,3.17,1
"506",97575940,16,15,3.1,1
"507",97575946,14,15,2.67,0
"508",97576261,21,17,3.85,1
"509",97576406,21,17,3.56,1
"510",97576635,18,18,2.78,0
"511",97576663,16,17,3.68,1
"512",97576673,17,15,2.78,0
"513",97576784,20,20,3.98,1
"514",97577122,12,18,3.54,1
"515",97577123,15,18,3.39,1
"516",97577322,15,18,3.41,1
"517",97577327,17,17,3.46,1
"518",97578211,17,14,2.12,0
"519",97578219,14,17,2.54,0
"520",97578298,16,13,2.44,0
"521",97578314,16,13,1.7,0
"522",97578482,15,13,1.89,0
"523",97578532,20,18,2.42,0
"524",97578690,22,17,3.94,1
"525",97712990,14,13,2.56,0
"526",97714480,14,17,3.51,1
"527",97715987,15,14,2.44,0
"528",97715989,15,13,1.6,0
"529",97716153,8,13,2.55,0
"530",97716338,15,17,3.48,1
"531",97716977,19,17,3.32,1
"532",97717958,15,15,3.77,1
"533",97718375,17,14,2.46,0
"534",98316359,14,14,3.35,1
"535",98500910,19,22,4,1
"536",98503032,16,15,1.57,0
"537",98506201,18,18,3.82,1
"538",98506683,14,15,3.35,1
"539",98544206,17,17,2.29,0
"540",98571012,14,13,1.98,0
"541",98571319,21,17,1.75,0
"542",98572261,21,20,3.94,1
"543",98572360,10,19,4,1
"544",98572362,15,13.5,2.07,0
"545",98573112,17,17,3.62,1
"546",98573892,14,19,3.56,1
"547",98573943,15,17,3.93,1
"548",98574296,20,17,3.42,1
"549",98574491,14,13,2.75,0
"550",98574806,17,15,2.6,0
"551",98574900,15,15,3.04,1
"552",98575190,14,17,3.22,1
"553",98575331,18,17,3.3,1
"554",98575355,16,15,3.22,1
"555",98575918,15,15,2.06,0
"556",98575946,17,15,1.98,0
"557",98576509,13,17,2.82,0
"558",98576964,15,20,3.87,1
"559",98577061,9,19,2.63,0
"560",98577328,17,14,2.06,0
"561",98577954,17,17,3.18,1
"562",98578043,14,15,3.18,1
"563",98578267,20,19,3.15,1
"564",98578348,17,15,2.58,0
"565",98578432,14,17,3.67,1
"566",98578582,17,13.5,1.71,0
"567",98619063,20,18,2.71,0
"568",98619068,15,20,3.14,1
"569",98619368,13,15,1.91,0
"570",98712214,15,15,2.16,0
"571",98712247,17,15,2.73,0
"572",98712941,15,20,3.58,1
"573",98714282,14,15,3.35,1
"574",98714481,18,13,1.44,0
"575",98714928,17,18,3.16,1
"576",98714991,13,15,2.54,0
"577",98715097,14,17,3.95,1
"578",98715258,18,13.5,1.74,0
"579",98715986,10,13,2.32,0
"580",98715994,14,15,2.35,0
"581",98716423,18,15,2.75,0
"582",98716827,12,15,2.86,0
"583",98716976,10,17,3.84,1
"584",98716978,19,19,3.87,1
"585",98718119,17,15,1.6,0
"586",98719935,14,17,3.16,1
"587",99500139,16,15,2.04,0
"588",99500183,15,18,2.72,0
"589",99503838,14,18,3.63,1
"590",99504520,17,15,2.5,0
"591",99508327,14,17,2.62,0
"592",99508430,24,15,1.6,0
"593",99544087,14,13.5,2.93,0
"594",99570393,16,15,3.15,1
"595",99570725,15,15,2.62,0
"596",99570726,16,15,3.33,1
"597",99570997,15,15,2.7,0
"598",99571202,16,15,2.76,0
"599",99571301,14,14,2.52,0
"600",99571500,16,15,2.15,0
"601",99571664,21,19,3.21,1
"602",99572263,15,17,3.8,1
"603",99572317,15,15,2.42,0
"604",99572326,16,13,2.7,0
"605",99572983,14,17,3.4,1
"606",99573038,16,19,3.8,1
"607",99573216,13,13,2.72,0
"608",99573258,17,13,2.26,0
"609",99573316,15,17,2.27,0
"610",99573992,20,17,3.77,1
"611",99574729,18,14,3.24,1
"612",99574804,17,17,3.62,1
"613",99574808,19,15,2.04,0
"614",99575087,20,14,3.29,1
"615",99575157,14,17,2.72,0
"616",99575216,21,15,1.86,0
"617",99575236,16,19,3.06,1
"618",99575237,15,15,1.87,0
"619",99575248,13,15,2.88,0
"620",99575259,16,15,2.72,0
"621",99575305,18,19,3.22,1
"622",99575579,13,13,2.3,0
"623",99575805,13,19,3.36,1
"624",99575946,16,17,3.29,1
"625",99576011,17,17,3.77,1
"626",99576206,11,18,3.62,1
"627",99576589,20,13.5,2.14,0
"628",99576843,17,15,3.6,1
"629",99577265,8,15,1.83,0
"630",99577322,15,17,3.2,1
"631",99577923,21,19,3,1
"632",99579947,16,15,3.06,1
"633",99619364,16,15,1.37,0
"634",99619460,22,20,3.38,1
"635",99636350,17,15,3.38,1
"636",99678179,14,17,2.67,0
"637",99678677,16,15,1.94,0
"638",99678978,19,19,3.96,1
"639",99710038,17,15,2.48,0
"640",99710181,16,15,3.32,1
"641",99710319,15,15,2.83,0
"642",99711176,14,11,0.44,0
"643",99712176,15,18,3.79,1
"644",99712217,13,17,3.57,1
"645",99712242,17,15,1.92,0
"646",99712905,16,13,2.95,0
"647",99713094,15,15,2.68,0
"648",99713197,14,17,3.49,1
"649",99713400,15,17,3.21,1
"650",99713934,14,18,3.43,1
"651",99714346,14,17,3.44,1
"652",99715029,17,13,2.23,0
"653",99715095,13,17,4,1
"654",99716892,17,15,2.47,0
"655",99716929,17,18,3.25,1
"656",99716971,14,17,3.6,1
"657",99719378,10,15,3.12,1
